[2026-02-26 20:30:36] IP: ::1 | Event: Rate limit exceeded | Context: {"identifier":"login_::1","attempts":5,"time_remaining":291} | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0
[2026-02-26 20:30:36] IP: ::1 | Event: Login rate limit exceeded | Context: {"ip":"::1"} | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0
[2026-02-26 20:30:37] IP: ::1 | Event: Rate limit exceeded | Context: {"identifier":"login_::1","attempts":5,"time_remaining":290} | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0
[2026-02-26 20:30:37] IP: ::1 | Event: Login rate limit exceeded | Context: {"ip":"::1"} | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0
[2026-02-26 20:30:38] IP: ::1 | Event: Rate limit exceeded | Context: {"identifier":"login_::1","attempts":5,"time_remaining":289} | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0
[2026-02-26 20:30:38] IP: ::1 | Event: Login rate limit exceeded | Context: {"ip":"::1"} | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0
[2026-02-26 20:31:11] IP: ::1 | Event: Login failed | Context: {"input":"ecoquiner_onx","ip":"::1"} | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0
[2026-02-26 20:40:31] IP: ::1 | Event: Login successful | Context: {"user_id":5,"ip":"::1"} | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0
[2026-02-26 23:47:57] IP: ::1 | Event: Login successful | Context: {"user_id":5,"ip":"::1"} | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0
[2026-02-27 15:09:49] IP: ::1 | Event: Login successful | Context: {"user_id":5,"ip":"::1"} | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0
[2026-03-04 22:03:47] IP: ::1 | Event: Login successful | Context: {"user_id":5,"ip":"::1"} | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0
